Tên Doanh ngiệp,Mã số thuế,Địa chỉ,Điện thoại
CHI NHÁNH CÔNG TY TNHH YẾN SÀO DAONEST TẠI TP. HỒ CHÍ MINH,4202005819-001,8/1 đường Nguyễn Ảnh Thủ, khu phố 7, tổ 57, Phường Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam,0828112233
CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN DỊCH VỤ QUẢNG CÁO HOA SEN,0310559408-001,151-153 Đường số 4, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH ĐẠI CÁT,0318547436-001,136/5 Đường Lê Thị Chợ, KDC Thuận Phát, Khu Phố 4, Phường Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH TÂM PHÚC,0318547436-005,197/22 Tắc Xuất, khu phố Miễu Nhi, Thị Trấn Cần Thạnh, Huyện Cần Giờ, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH PHÁT ĐẠT,0318547436-004,Số 86, Dương Cát Lợi, khu phố 4, Thị Trấn Nhà Bè, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH LỘC PHÁT,0318547436-002,2110/37 Quốc lộ 50, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH XD - TK - TTNT QUANG THUẬN,0317457187-001,382/17 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam,0932637634
CÔNG TY TNHH ĐIỆN TỬ SAMSUNG VINA,0521880000,Lầu 25, Tòa nhà tài chính Bitexco, Số 02 Hải Triều, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
VĂN PHÒNG ĐẠI DIỆN HỒ CHÍ MINH - CÔNG TY TNHH ROYAL DISTRIBUTION,0309590643-015,Tòa nhà 22 -24 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH XÂY DỰNG - VLXD TÂN TIẾN,2200806898-001,Số 25/8 đường 38, Phường Bình Trưng Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0793427362
VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH CÔNG TY TNHH THƯƠNG MẠI MIGA VIỆT NAM,0402099239-001,Tầng trệt, Số 158 Đường số 2, KDC Vạn Phúc, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0901222577
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GREENATA,3603210193-001,14B11 Thảo Điền, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0908595780
CỬA HÀNG HIỆP LỰC,0302735138-001,462 Lê Hồng Phong, Phường 01, Quận 10, Thành phố Hồ Chí Minh, Việt Nam,02838350532 - 0283
CHI NHÁNH CÔNG TY TNHH FORNIX – KHO CHỨA HÀNG,0311469651-001,1043 Tạ Quang Bửu, Phường 6, Quận 8, Thành phố Hồ Chí Minh, Việt Nam,02862605100
CHI NHÁNH CÔNG TY TNHH SOLINCOTO,0318635844-001,03 Cộng Hoà, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam,0971382538
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN XAY XÁT HOÀNG GIAO,1801531903-001,P.903, Tầng 9, Tòa nhà Diamond Plaza, 34 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
CHI NHÁNH CÔNG TY TNHH HÓA CHẤT PHÚC KHANG,0305713894-001,Căn số 00.02, Tháp A2, Khu chung cư phức hợp Lô M1 (Sarimi), 74 đường Nguyễn Cơ Thạch, Phường An Lợi Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam
CHI NHÁNH CÔNG TY TNHH NHA KHOA KIM TRUNG - NHA KHOA AN DƯƠNG VƯƠNG,0317421751-001,351 An Dương Vương, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Việt Nam,0909997550
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT MINH THÀNH I,0317304783-001,284 Lê Thị Riêng, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam
CHI NHÁNH CÔNG TY TNHH VLIFE TRAVEL,0317294341-001,245 Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI THẮNG THẾ - KHO HÀNG,0314564399-001,117 Võ Văn Bích, Ấp 11, Xã Tân Thạnh Đông, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DỊCH VỤ YOUR,0314573523-001,158 Bùi Tá Hán, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TƯ VẤN KIẾN TRÚC VÀ XÂY DỰNG TRUNG KIÊN - CHI NHÁNH 01,0318465832-001,Số 379/12 Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam,0934163118
CÔNG TY TNHH ĐIỆN TỬ SAMSUNG VINA,0870990014,Lầu 25, Tòa nhà tài chính Bitexco, Số 02 Hải Triều, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
CHI NHÁNH CÔNG TY TNHH DỊCH VỤ CCV,0318204319-002,F1/19K, Ấp 6A, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam,0908816660
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BÁCH HÓA SẠCH AN LẠC,0318657301,Số 161 đường Hà Huy Giáp, Khu phố 1, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam,0901423824
CÔNG TY TNHH XÂY DỰNG VẬN TẢI NHẬT LỘC,0318657566,41/3C Ấp Đông, Xã Thới Tam Thôn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam,0968037086
CÔNG TY TNHH DỊCH VỤ THÁI HÒA,0318657573,Tầng 2 Tòa nhà Sài Gòn Pragon, Số 3 Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam,0358861880
CÔNG TY TNHH THƯƠNG MẠI TRIỆU THƯỜNG,0318656629,32 Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0983137511
CÔNG TY TNHH REFUNDS,0318657559,553/12 Luỹ Bán Bích, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam,0386 586 589
CÔNG TY TNHH TƯ VẤN XÂY DỰNG MINH TIẾN ĐẠT,0318657534,84 Đường 47, Khu phố 6, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0913813713
CÔNG TY TNHH DCT TRADING,0318657679,98 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam,0768516503
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG BÍCH KHƯƠNG,0318657686,95 Tôn Thất Thuyết, Phường 18, Quận 4, Thành phố Hồ Chí Minh, Việt Nam,0568807652
CHI NHÁNH CÔNG TY CỔ PHẦN THỦ ĐỨC GROUP,0317157539-001,25 Phan Đăng Lưu, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam,0966668567
CÔNG TY TNHH GIẢI PHÁP NĂNG LƯỢNG KHÔNG KHÍ,0318657421,37A Nguyễn Văn Bứa, ấp 4, Xã Xuân Thới Sơn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam,0326507490
CÔNG TY TNHH GIẢI PHÁP SỐ HOÁ NEXTGEN,0318657710,50 Đường DC11, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam,0909525230
CÔNG TY TNHH DỊCH VỤ TƯ VẤN TC HYKYN,0318656530,37-39-41 Nguyễn Thi, Phường 13, Quận 5, Thành phố Hồ Chí Minh, Việt Nam,0927 041 782
CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI HÀNG HOÁ ĐẦU TƯ VÀ KHAI THÁC PHÁT LỘC - ĐT,0318657703,D2A Lê Đức Thọ, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam,0972671903
CÔNG TY TNHH HIỆP HÒA PHÁT QN,0318657206,70 đường 17, Khu phố 11, Phường Bình Trưng Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0928828798
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT KẾ XÂY DỰNG MY NGUYỄN,0318657693,249 Đường ĐHT 40 , Phường Tân Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam,0983232311
CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN MARINA,0318657728,129 Lê Thúc Hoạch, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam,0776352947
CÔNG TY TNHH THƯƠNG MẠI TRANG SỨC BẢO DUY,0318657735,324/2 Ấp Chánh 1, Xã Tân Xuân, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam,02862 676 676
CÔNG TY TNHH MTV HỒNG NHẤT,0318657742,1352/14/7, Ấp 3, Xã Hiệp Phước, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam,0925078979
CÔNG TY TNHH TM & DV THANH HUYỀN,0318656523,88 Đường số 11, Phường Cát Lái, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0938668194
CÔNG TY TNHH KỸ THUẬT DUTEC VIỆT,0318654967,557/57/14 Hương Lộ 3, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam,0989649206
CÔNG TY CỔ PHẦN LÀNG ẨM THỰC AN TƯỜNG 66,0318656322,251 Chợ Lớn, Phường 11, Quận 6, Thành phố Hồ Chí Minh, Việt Nam,0986087171
CÔNG TY TNHH ĐẦU TƯ CK SEDEXX,0318656354,459 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam,0522 260 341
CÔNG TY TNHH CỨU HỘ GIAO THÔNG 911 SÀI GÒN,0318656403,15/83/108 Võ Duy Ninh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam,0902132141
CÔNG TY TNHH HQ STAR VIETNAM,0318657527,23 Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam,+86 13862192971
CÔNG TY TNHH TƯ VẤN VIỆT NAM HÀ LAN,0318657365,nhà số 32, đường 7A, khu dân cư Nhân Phú, khu phố 18, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0903785380
CÔNG TY TNHH HANSHINE INVESTMENT CORP,0318657580,05 đường số 45, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam,0705195080
CÔNG TY TNHH THƯƠNG MẠI MINH VŨ VN,0318657492,731 Ba Đình, Phường 10, Quận 8, Thành phố Hồ Chí Minh, Việt Nam,0967120635
CÔNG TY TNHH DE CMAN GLOBAL ENTERPRISES,0318657478,122 Nguyễn Duy Cung, Khu phố 5, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam,0355913185
CÔNG TY TNHH HÀN VIỆT STAR,0318657541,Số nhà 0.09, Tầng 1 (Lầu trệt), Khối B, Tháp B2, Khu Trung tâm Thương mại dịch vụ và nhà ở tại Lô F Trung tâm hành chính huyện Bình Chánh, Thị Trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam,0919785688
CÔNG TY TNHH ĐẦU TƯ HOA TULIP,0318657446,Số 7 đường Nội khu Hưng Gia 4, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam,02854110088
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH VÀ VẬN TẢI THIÊN KỲ,0318657453,60/1E Ấp Thới Tây 2, Xã Tân Hiệp, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam,0896703386
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TƯ VẤN PHÁT THÀNH,0318657460,Số 70 Đường Xương cá 1, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam,0918174083
CÔNG TY TNHH GIẢI PHÁP THANG MÁY TDE,0318657502,121/13 Tân Cảng, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam,0918736193
CÔNG TY TNHH MTV KIMANH COMPUTER,0318652381,857 Quang Trung, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam,0938247640
CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ & PHÁT TRIỂN SAFE FOODS,0318657220,183A4/10 Tôn Thất Thuyết, Phường 04, Quận 4, Thành phố Hồ Chí Minh, Việt Nam,0969226441
CÔNG TY TNHH KINH DOANH THỰC PHẨM HOÀI THƯNG,0318657189,22/105G Trần Bình Trọng, Phường 01, Quận 5, Thành phố Hồ Chí Minh, Việt Nam,0904896843
CÔNG TY TNHH PHÚ LỢI LOGISTICS,0318655872,Phòng 903 Tầng 9, Tòa nhà Diamond Plaza, 34 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam,0913118056
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI AGRI TECH,0318656227,4A35 Đường Thanh Niên, Ấp 4, Xã Phạm Văn Hai, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam,0846689868
CÔNG TY TNHH XNK & TM NĂNG LƯỢNG XANH T&T,0318655784,15/36 Phan Huy Ích, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam,0908566111
CÔNG TY CỔ PHẦN CÔNG NGHỆ BLOCKCHAIN TIGER GLOBAL,0318653804,Số 45, Đinh Thị Thi, Khu đô thị Vạn Phúc, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0899999646
CÔNG TY TNHH PHÁT TRIỂN GIÁO DỤC WIS ENGLISH,0318655819,C-68 Khu Dragon Village, Đường Nguyễn Thị Tư, Phường Phú Hữu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0903188945
CÔNG TY TNHH ROSA FATIMA VIỆT NAM,0318655671,29 Đường Số 5, KP1, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0903957440
CÔNG TY TNHH CYBER FURI,0318657118,6-8 Đoàn Văn Bơ, Phường 09, Quận 4, Thành phố Hồ Chí Minh, Việt Nam,0918567526
CÔNG TY TNHH BRUS,0318657333,36 Nguyễn Văn Mai, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam,0973186401
CÔNG TY TNHH TM XNK VIETSTAR,0318657319,Số 01 đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0379192939
CÔNG TY TNHH THƯƠNG MẠI LÊ ĐÔNG,0318656971,187 Hà Duy Phiên, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam,0966416360
CÔNG TY TNHH DTPT DỊCH VỤ MAILISA,0318657100,101/17 Đường Phạm Đình Hổ, Phường 06, Quận 6, Thành phố Hồ Chí Minh, Việt Nam,0901124580
